2026-02-06 15:45:13,714 | INFO | backtest_class | Found 17540 valid intervals out of 17572 predictions
2026-02-06 15:47:33,754 | INFO | backtest_class | Found 17540 valid intervals out of 17572 predictions
2026-02-06 15:48:13,481 | INFO | backtest_class | Found 70158 valid intervals out of 70293 predictions
2026-02-06 15:50:52,045 | INFO | backtest_class | Found 210473 valid intervals out of 210882 predictions
2026-02-09 10:39:08,722 | INFO | backtest_class | Found 17540 valid intervals out of 17572 predictions
2026-02-09 10:40:11,383 | INFO | backtest_class | Found 70158 valid intervals out of 70293 predictions
2026-02-09 10:43:23,535 | INFO | backtest_class | Found 210473 valid intervals out of 210882 predictions
2026-02-09 11:55:28,255 | INFO | backtest_class | Found 17540 valid intervals out of 17572 predictions
2026-02-09 11:56:32,974 | INFO | backtest_class | Found 70158 valid intervals out of 70293 predictions
2026-02-09 11:59:27,792 | INFO | backtest_class | Found 210473 valid intervals out of 210882 predictions
2026-02-09 12:03:42,975 | INFO | backtest_class | Found 17540 valid intervals out of 17572 predictions
2026-02-09 12:04:48,743 | INFO | backtest_class | Found 70158 valid intervals out of 70293 predictions
2026-02-09 12:07:52,959 | INFO | backtest_class | Found 210473 valid intervals out of 210882 predictions
2026-02-09 12:13:15,863 | INFO | backtest_class | Found 17540 valid intervals out of 17572 predictions
2026-02-09 12:14:24,347 | INFO | backtest_class | Found 70158 valid intervals out of 70293 predictions
2026-02-09 12:17:40,016 | INFO | backtest_class | Found 210473 valid intervals out of 210882 predictions
2026-02-09 12:22:31,766 | INFO | backtest_class | Found 17540 valid intervals out of 17572 predictions
2026-02-09 12:23:30,914 | INFO | backtest_class | Found 70158 valid intervals out of 70293 predictions
2026-02-09 12:26:22,516 | INFO | backtest_class | Found 210473 valid intervals out of 210882 predictions
2026-02-09 12:58:17,979 | INFO | backtest_class | Found 27247 valid intervals out of 27247 predictions
2026-02-09 12:59:56,747 | INFO | backtest_class | Found 108991 valid intervals out of 108991 predictions
2026-02-09 13:04:51,638 | INFO | backtest_class | Found 326973 valid intervals out of 326973 predictions
2026-02-09 13:06:14,355 | INFO | backtest_class | Found 27247 valid intervals out of 27247 predictions
2026-02-09 13:06:47,412 | INFO | backtest_class | Found 27247 valid intervals out of 27247 predictions
2026-02-09 13:07:18,741 | INFO | backtest_class | Found 27247 valid intervals out of 27247 predictions
2026-02-09 13:07:49,536 | INFO | backtest_class | Found 27247 valid intervals out of 27247 predictions
2026-02-09 13:08:19,664 | INFO | backtest_class | Found 27247 valid intervals out of 27247 predictions
2026-02-09 13:08:50,028 | INFO | backtest_class | Found 27247 valid intervals out of 27247 predictions
2026-02-09 13:09:19,698 | INFO | backtest_class | Found 27247 valid intervals out of 27247 predictions
2026-02-09 13:09:50,979 | INFO | backtest_class | Found 27247 valid intervals out of 27247 predictions
2026-02-09 13:10:21,744 | INFO | backtest_class | Found 27247 valid intervals out of 27247 predictions
2026-02-09 13:10:52,895 | INFO | backtest_class | Found 27247 valid intervals out of 27247 predictions
2026-02-09 13:11:23,889 | INFO | backtest_class | Found 27247 valid intervals out of 27247 predictions
2026-02-09 13:11:55,362 | INFO | backtest_class | Found 27247 valid intervals out of 27247 predictions
2026-02-09 13:12:25,451 | INFO | backtest_class | Found 27247 valid intervals out of 27247 predictions
2026-02-09 13:12:56,351 | INFO | backtest_class | Found 27247 valid intervals out of 27247 predictions
2026-02-09 13:13:26,620 | INFO | backtest_class | Found 27247 valid intervals out of 27247 predictions
2026-02-09 13:13:57,094 | INFO | backtest_class | Found 27247 valid intervals out of 27247 predictions
2026-02-09 13:14:27,621 | INFO | backtest_class | Found 27247 valid intervals out of 27247 predictions
2026-02-09 13:15:01,440 | INFO | backtest_class | Found 27247 valid intervals out of 27247 predictions
2026-02-09 13:15:33,000 | INFO | backtest_class | Found 27247 valid intervals out of 27247 predictions
2026-02-09 13:16:03,469 | INFO | backtest_class | Found 27247 valid intervals out of 27247 predictions
2026-02-09 13:16:35,829 | INFO | backtest_class | Found 27247 valid intervals out of 27247 predictions
2026-02-09 13:17:06,610 | INFO | backtest_class | Found 27247 valid intervals out of 27247 predictions
2026-02-09 13:17:40,999 | INFO | backtest_class | Found 27247 valid intervals out of 27247 predictions
2026-02-09 13:18:14,328 | INFO | backtest_class | Found 27247 valid intervals out of 27247 predictions
