2026-02-11 09:59:49,618 | INFO | execution_binance_main |     wclprice: True
2026-02-11 09:59:49,618 | INFO | execution_binance_main |     ht_phasor: True
2026-02-11 09:59:49,619 | INFO | execution_binance_main |     ht_sine: True
2026-02-11 09:59:49,620 | INFO | execution_binance_main |     ht_trendmode: True
2026-02-11 09:59:49,621 | INFO | execution_binance_main |     tsf: True
2026-02-11 09:59:49,622 | INFO | execution_binance_main |     var: True
2026-02-11 09:59:49,622 | INFO | execution_binance_main |     cdl2crows: True
2026-02-11 09:59:49,624 | INFO | execution_binance_main |     cdl3blackcrows: True
2026-02-11 09:59:49,624 | INFO | execution_binance_main |     cdl3linestrike: True
2026-02-11 09:59:49,625 | INFO | execution_binance_main |     cdl3outside: True
2026-02-11 09:59:49,626 | INFO | execution_binance_main |     cdl3starsinsouth: True
2026-02-11 09:59:49,626 | INFO | execution_binance_main |     cdl3whitesoldiers: True
2026-02-11 09:59:49,626 | INFO | execution_binance_main |     cdlabandonedbaby: True
2026-02-11 09:59:49,626 | INFO | execution_binance_main |     cdlbreakaway: True
2026-02-11 09:59:49,627 | INFO | execution_binance_main |     cdlcounterattack: True
2026-02-11 09:59:49,627 | INFO | execution_binance_main |     cdldoji: True
2026-02-11 09:59:49,627 | INFO | execution_binance_main |     cdlgravestonedoji: True
2026-02-11 09:59:49,629 | INFO | execution_binance_main |     cdlhammer: True
2026-02-11 09:59:49,629 | INFO | execution_binance_main |     cdlidentical3crows: True
2026-02-11 09:59:49,629 | INFO | execution_binance_main |     cdlinneck: True
2026-02-11 09:59:49,629 | INFO | execution_binance_main |     cdlinvertedhammer: True
2026-02-11 09:59:49,629 | INFO | execution_binance_main |     cdlkickingbylength: True
2026-02-11 09:59:49,632 | INFO | execution_binance_main |     cdllongleggeddoji: True
2026-02-11 09:59:49,632 | INFO | execution_binance_main |     cdlmatchinglow: True
2026-02-11 09:59:49,633 | INFO | execution_binance_main |     cdlmathold: True
2026-02-11 09:59:49,633 | INFO | execution_binance_main |     cdlmorningstar: True
2026-02-11 09:59:49,633 | INFO | execution_binance_main |     cdlpiercing: True
2026-02-11 09:59:49,634 | INFO | execution_binance_main |     cdlrickshawman: True
2026-02-11 09:59:49,635 | INFO | execution_binance_main |     cdlrisefall3methods: True
2026-02-11 09:59:49,635 | INFO | execution_binance_main |     cdlstalledpattern: True
2026-02-11 09:59:49,636 | INFO | execution_binance_main |     cdlthrusting: True
2026-02-11 09:59:49,638 | INFO | execution_binance_main |     cdlunique3river: True
2026-02-11 09:59:49,638 | INFO | execution_binance_main |     cdlupsidegap2crows: True
2026-02-11 09:59:49,638 | INFO | execution_binance_main |     ema_period: 30
2026-02-11 09:59:49,640 | INFO | execution_binance_main |     trima_period: 30
2026-02-11 09:59:49,641 | INFO | execution_binance_main |     wma_period: 30
