2026-01-23 12:40:59,264 | INFO | metatrader5_fetcher | ✔ Enabled symbol: BCHUSD
2026-01-23 12:40:59,264 | INFO | metatrader5_fetcher | ✔ Enabled symbol: BNBUSD
2026-01-23 12:40:59,278 | INFO | metatrader5_fetcher | ✔ Enabled symbol: BTCUSD
2026-01-23 12:40:59,278 | INFO | metatrader5_fetcher | ✔ Enabled symbol: DOGEUSD
2026-01-23 12:40:59,278 | INFO | metatrader5_fetcher | ✔ Enabled symbol: DOTUSD
2026-01-23 12:40:59,279 | INFO | metatrader5_fetcher | ✔ Enabled symbol: EOSUSD
2026-01-23 12:40:59,279 | INFO | metatrader5_fetcher | ✔ Enabled symbol: ETHUSD
2026-01-23 12:40:59,279 | INFO | metatrader5_fetcher | ✔ Enabled symbol: LNKUSD
2026-01-23 12:40:59,280 | INFO | metatrader5_fetcher | ✔ Enabled symbol: LTCUSD
2026-01-23 12:40:59,280 | INFO | metatrader5_fetcher | ✔ Enabled symbol: MATICUSD
2026-01-23 12:40:59,281 | INFO | metatrader5_fetcher | ✔ Enabled symbol: NETH25
2026-01-23 12:40:59,281 | INFO | metatrader5_fetcher | ✔ Enabled symbol: SOLUSD
2026-01-23 12:40:59,281 | INFO | metatrader5_fetcher | ✔ Enabled symbol: XLMUSD
2026-01-23 12:41:14,692 | WARNING | metatrader5_fetcher | ⚠ No data for EOSUSD from 2026-01-23 12:35:00 to 2026-01-23 12:40:59.264789
